2023-05-06-00:32:47 Train---Epoch:000; Lr:0.00050000; iter:568; total_loss: 0.0264
2023-05-06-00:33:33 Valid---Epoch:000; Lr:0.00050000; iter:568; total_loss: 0.0423
2023-05-06-00:34:46 Train---Epoch:001; Lr:0.00050000; iter:568; total_loss: 0.0146
2023-05-06-00:35:33 Valid---Epoch:001; Lr:0.00050000; iter:568; total_loss: 0.0435
2023-05-06-00:36:52 Train---Epoch:002; Lr:0.00050000; iter:568; total_loss: 0.0132
2023-05-06-00:37:39 Valid---Epoch:002; Lr:0.00050000; iter:568; total_loss: 0.0430
2023-05-06-00:38:59 Train---Epoch:003; Lr:0.00050000; iter:568; total_loss: 0.0125
2023-05-06-00:39:45 Valid---Epoch:003; Lr:0.00050000; iter:568; total_loss: 0.0471
2023-05-06-00:41:06 Train---Epoch:004; Lr:0.00050000; iter:568; total_loss: 0.0120
2023-05-06-00:41:52 Valid---Epoch:004; Lr:0.00050000; iter:568; total_loss: 0.0496
2023-05-06-00:43:13 Train---Epoch:005; Lr:0.00050000; iter:568; total_loss: 0.0118
2023-05-06-00:43:59 Valid---Epoch:005; Lr:0.00050000; iter:568; total_loss: 0.0452
2023-05-06-00:45:19 Train---Epoch:006; Lr:0.00050000; iter:568; total_loss: 0.0114
2023-05-06-00:46:05 Valid---Epoch:006; Lr:0.00050000; iter:568; total_loss: 0.0491
2023-05-06-00:47:25 Train---Epoch:007; Lr:0.00050000; iter:568; total_loss: 0.0112
2023-05-06-00:48:11 Valid---Epoch:007; Lr:0.00050000; iter:568; total_loss: 0.0532
2023-05-06-00:49:31 Train---Epoch:008; Lr:0.00050000; iter:568; total_loss: 0.0114
2023-05-06-00:50:17 Valid---Epoch:008; Lr:0.00050000; iter:568; total_loss: 0.0498
2023-05-06-00:51:32 Train---Epoch:009; Lr:0.00050000; iter:568; total_loss: 0.0108
2023-05-06-00:52:18 Valid---Epoch:009; Lr:0.00050000; iter:568; total_loss: 0.0603
2023-05-06-00:53:30 Train---Epoch:010; Lr:0.00050000; iter:568; total_loss: 0.0107
2023-05-06-00:54:16 Valid---Epoch:010; Lr:0.00050000; iter:568; total_loss: 0.0598
2023-05-06-00:55:37 Train---Epoch:011; Lr:0.00050000; iter:568; total_loss: 0.0104
2023-05-06-00:56:23 Valid---Epoch:011; Lr:0.00050000; iter:568; total_loss: 0.0627
2023-05-06-00:57:43 Train---Epoch:012; Lr:0.00050000; iter:568; total_loss: 0.0104
2023-05-06-00:58:29 Valid---Epoch:012; Lr:0.00050000; iter:568; total_loss: 0.0657
2023-05-06-00:59:46 Train---Epoch:013; Lr:0.00050000; iter:568; total_loss: 0.0102
2023-05-06-01:00:18 Valid---Epoch:013; Lr:0.00050000; iter:568; total_loss: 0.0521
2023-05-06-01:01:32 Train---Epoch:014; Lr:0.00050000; iter:568; total_loss: 0.0102
2023-05-06-01:02:15 Valid---Epoch:014; Lr:0.00050000; iter:568; total_loss: 0.0661
2023-05-06-01:03:35 Train---Epoch:015; Lr:0.00050000; iter:568; total_loss: 0.0104
2023-05-06-01:04:21 Valid---Epoch:015; Lr:0.00050000; iter:568; total_loss: 0.0551
2023-05-06-01:05:42 Train---Epoch:016; Lr:0.00050000; iter:568; total_loss: 0.0098
2023-05-06-01:06:29 Valid---Epoch:016; Lr:0.00050000; iter:568; total_loss: 0.0724
2023-05-06-01:07:51 Train---Epoch:017; Lr:0.00050000; iter:568; total_loss: 0.0098
2023-05-06-01:08:37 Valid---Epoch:017; Lr:0.00050000; iter:568; total_loss: 0.0722
2023-05-06-01:10:01 Train---Epoch:018; Lr:0.00050000; iter:568; total_loss: 0.0096
2023-05-06-01:10:49 Valid---Epoch:018; Lr:0.00050000; iter:568; total_loss: 0.0740
2023-05-06-01:12:10 Train---Epoch:019; Lr:0.00050000; iter:568; total_loss: 0.0094
2023-05-06-01:12:57 Valid---Epoch:019; Lr:0.00050000; iter:568; total_loss: 0.0688
2023-05-06-01:14:19 Train---Epoch:020; Lr:0.00050000; iter:568; total_loss: 0.0099
2023-05-06-01:15:06 Valid---Epoch:020; Lr:0.00050000; iter:568; total_loss: 0.0673
2023-05-06-01:16:25 Train---Epoch:021; Lr:0.00050000; iter:568; total_loss: 0.0095
2023-05-06-01:17:15 Valid---Epoch:021; Lr:0.00050000; iter:568; total_loss: 0.0759
2023-05-06-01:18:43 Train---Epoch:022; Lr:0.00050000; iter:568; total_loss: 0.0095
2023-05-06-01:19:14 Valid---Epoch:022; Lr:0.00050000; iter:568; total_loss: 0.0562
2023-05-06-01:20:18 Train---Epoch:023; Lr:0.00050000; iter:568; total_loss: 0.0094
2023-05-06-01:20:49 Valid---Epoch:023; Lr:0.00050000; iter:568; total_loss: 0.0793
2023-05-06-01:21:52 Train---Epoch:024; Lr:0.00050000; iter:568; total_loss: 0.0094
2023-05-06-01:22:23 Valid---Epoch:024; Lr:0.00050000; iter:568; total_loss: 0.0508
2023-05-06-01:23:27 Train---Epoch:025; Lr:0.00050000; iter:568; total_loss: 0.0093
2023-05-06-01:23:57 Valid---Epoch:025; Lr:0.00050000; iter:568; total_loss: 0.0646
2023-05-06-01:25:02 Train---Epoch:026; Lr:0.00050000; iter:568; total_loss: 0.0093
2023-05-06-01:25:34 Valid---Epoch:026; Lr:0.00050000; iter:568; total_loss: 0.0796
2023-05-06-01:26:39 Train---Epoch:027; Lr:0.00050000; iter:568; total_loss: 0.0092
2023-05-06-01:27:10 Valid---Epoch:027; Lr:0.00050000; iter:568; total_loss: 0.0818
2023-05-06-01:28:18 Train---Epoch:028; Lr:0.00050000; iter:568; total_loss: 0.0094
2023-05-06-01:28:49 Valid---Epoch:028; Lr:0.00050000; iter:568; total_loss: 0.0697
2023-05-06-01:29:52 Train---Epoch:029; Lr:0.00050000; iter:568; total_loss: 0.0093
2023-05-06-01:30:23 Valid---Epoch:029; Lr:0.00050000; iter:568; total_loss: 0.0807
2023-05-06-01:31:36 Train---Epoch:030; Lr:0.00050000; iter:568; total_loss: 0.0092
2023-05-06-01:32:23 Valid---Epoch:030; Lr:0.00050000; iter:568; total_loss: 0.0880
2023-05-06-01:33:43 Train---Epoch:031; Lr:0.00050000; iter:568; total_loss: 0.0091
2023-05-06-01:34:29 Valid---Epoch:031; Lr:0.00050000; iter:568; total_loss: 0.0719
2023-05-06-01:35:49 Train---Epoch:032; Lr:0.00050000; iter:568; total_loss: 0.0090
2023-05-06-01:36:36 Valid---Epoch:032; Lr:0.00050000; iter:568; total_loss: 0.0753
2023-05-06-01:37:55 Train---Epoch:033; Lr:0.00050000; iter:568; total_loss: 0.0095
2023-05-06-01:38:42 Valid---Epoch:033; Lr:0.00050000; iter:568; total_loss: 0.0628
2023-05-06-01:40:01 Train---Epoch:034; Lr:0.00050000; iter:568; total_loss: 0.0092
2023-05-06-01:40:48 Valid---Epoch:034; Lr:0.00050000; iter:568; total_loss: 0.0705
2023-05-06-01:42:10 Train---Epoch:035; Lr:0.00050000; iter:568; total_loss: 0.0089
2023-05-06-01:42:43 Valid---Epoch:035; Lr:0.00050000; iter:568; total_loss: 0.0798
2023-05-06-01:43:48 Train---Epoch:036; Lr:0.00050000; iter:568; total_loss: 0.0089
2023-05-06-01:44:19 Valid---Epoch:036; Lr:0.00050000; iter:568; total_loss: 0.0802
2023-05-06-01:45:20 Train---Epoch:037; Lr:0.00050000; iter:568; total_loss: 0.0090
2023-05-06-01:45:49 Valid---Epoch:037; Lr:0.00050000; iter:568; total_loss: 0.0779
2023-05-06-01:46:50 Train---Epoch:038; Lr:0.00050000; iter:568; total_loss: 0.0088
2023-05-06-01:47:19 Valid---Epoch:038; Lr:0.00050000; iter:568; total_loss: 0.0754
2023-05-06-01:48:20 Train---Epoch:039; Lr:0.00050000; iter:568; total_loss: 0.0089
2023-05-06-01:48:49 Valid---Epoch:039; Lr:0.00050000; iter:568; total_loss: 0.0880
2023-05-06-01:49:51 Train---Epoch:040; Lr:0.00050000; iter:568; total_loss: 0.0089
2023-05-06-01:50:19 Valid---Epoch:040; Lr:0.00050000; iter:568; total_loss: 0.0904
2023-05-06-01:51:22 Train---Epoch:041; Lr:0.00050000; iter:568; total_loss: 0.0090
2023-05-06-01:51:52 Valid---Epoch:041; Lr:0.00050000; iter:568; total_loss: 0.0712
2023-05-06-01:52:54 Train---Epoch:042; Lr:0.00050000; iter:568; total_loss: 0.0088
2023-05-06-01:53:23 Valid---Epoch:042; Lr:0.00050000; iter:568; total_loss: 0.0841
2023-05-06-01:54:24 Train---Epoch:043; Lr:0.00050000; iter:568; total_loss: 0.0087
2023-05-06-01:54:53 Valid---Epoch:043; Lr:0.00050000; iter:568; total_loss: 0.0802
2023-05-06-01:55:54 Train---Epoch:044; Lr:0.00050000; iter:568; total_loss: 0.0087
2023-05-06-01:56:23 Valid---Epoch:044; Lr:0.00050000; iter:568; total_loss: 0.1004
2023-05-06-01:57:24 Train---Epoch:045; Lr:0.00050000; iter:568; total_loss: 0.0087
2023-05-06-01:57:54 Valid---Epoch:045; Lr:0.00050000; iter:568; total_loss: 0.0886
2023-05-06-01:58:55 Train---Epoch:046; Lr:0.00050000; iter:568; total_loss: 0.0086
2023-05-06-01:59:24 Valid---Epoch:046; Lr:0.00050000; iter:568; total_loss: 0.0914
2023-05-06-02:00:25 Train---Epoch:047; Lr:0.00050000; iter:568; total_loss: 0.0087
2023-05-06-02:00:54 Valid---Epoch:047; Lr:0.00050000; iter:568; total_loss: 0.0900
2023-05-06-02:01:55 Train---Epoch:048; Lr:0.00050000; iter:568; total_loss: 0.0087
2023-05-06-02:02:24 Valid---Epoch:048; Lr:0.00050000; iter:568; total_loss: 0.0740
2023-05-06-02:03:25 Train---Epoch:049; Lr:0.00050000; iter:568; total_loss: 0.0088
2023-05-06-02:03:54 Valid---Epoch:049; Lr:0.00050000; iter:568; total_loss: 0.0965
2023-05-06-02:04:55 Train---Epoch:050; Lr:0.00050000; iter:568; total_loss: 0.0086
2023-05-06-02:05:24 Valid---Epoch:050; Lr:0.00050000; iter:568; total_loss: 0.0862
2023-05-06-02:06:25 Train---Epoch:051; Lr:0.00050000; iter:568; total_loss: 0.0086
2023-05-06-02:06:54 Valid---Epoch:051; Lr:0.00050000; iter:568; total_loss: 0.0893
2023-05-06-02:07:55 Train---Epoch:052; Lr:0.00050000; iter:568; total_loss: 0.0087
2023-05-06-02:08:24 Valid---Epoch:052; Lr:0.00050000; iter:568; total_loss: 0.0781
2023-05-06-02:09:25 Train---Epoch:053; Lr:0.00050000; iter:568; total_loss: 0.0085
2023-05-06-02:09:54 Valid---Epoch:053; Lr:0.00050000; iter:568; total_loss: 0.0851
2023-05-06-02:10:55 Train---Epoch:054; Lr:0.00050000; iter:568; total_loss: 0.0086
2023-05-06-02:11:24 Valid---Epoch:054; Lr:0.00050000; iter:568; total_loss: 0.1041
2023-05-06-02:12:25 Train---Epoch:055; Lr:0.00050000; iter:568; total_loss: 0.0086
2023-05-06-02:12:54 Valid---Epoch:055; Lr:0.00050000; iter:568; total_loss: 0.0932
2023-05-06-02:13:55 Train---Epoch:056; Lr:0.00050000; iter:568; total_loss: 0.0086
2023-05-06-02:14:24 Valid---Epoch:056; Lr:0.00050000; iter:568; total_loss: 0.1016
2023-05-06-02:15:25 Train---Epoch:057; Lr:0.00050000; iter:568; total_loss: 0.0085
2023-05-06-02:15:54 Valid---Epoch:057; Lr:0.00050000; iter:568; total_loss: 0.0949
2023-05-06-02:16:55 Train---Epoch:058; Lr:0.00050000; iter:568; total_loss: 0.0084
2023-05-06-02:17:24 Valid---Epoch:058; Lr:0.00050000; iter:568; total_loss: 0.0811
2023-05-06-02:18:25 Train---Epoch:059; Lr:0.00050000; iter:568; total_loss: 0.0084
2023-05-06-02:18:54 Valid---Epoch:059; Lr:0.00050000; iter:568; total_loss: 0.0981
2023-05-06-02:19:55 Train---Epoch:060; Lr:0.00050000; iter:568; total_loss: 0.0085
2023-05-06-02:20:24 Valid---Epoch:060; Lr:0.00050000; iter:568; total_loss: 0.0972
2023-05-06-02:21:25 Train---Epoch:061; Lr:0.00050000; iter:568; total_loss: 0.0084
2023-05-06-02:21:54 Valid---Epoch:061; Lr:0.00050000; iter:568; total_loss: 0.0954
2023-05-06-02:22:56 Train---Epoch:062; Lr:0.00050000; iter:568; total_loss: 0.0086
2023-05-06-02:23:25 Valid---Epoch:062; Lr:0.00050000; iter:568; total_loss: 0.0948
2023-05-06-02:24:26 Train---Epoch:063; Lr:0.00050000; iter:568; total_loss: 0.0087
2023-05-06-02:24:55 Valid---Epoch:063; Lr:0.00050000; iter:568; total_loss: 0.0796
2023-05-06-02:25:56 Train---Epoch:064; Lr:0.00050000; iter:568; total_loss: 0.0084
2023-05-06-02:26:25 Valid---Epoch:064; Lr:0.00050000; iter:568; total_loss: 0.1055
2023-05-06-02:27:26 Train---Epoch:065; Lr:0.00050000; iter:568; total_loss: 0.0084
2023-05-06-02:27:55 Valid---Epoch:065; Lr:0.00050000; iter:568; total_loss: 0.0883
2023-05-06-02:28:56 Train---Epoch:066; Lr:0.00050000; iter:568; total_loss: 0.0086
2023-05-06-02:29:25 Valid---Epoch:066; Lr:0.00050000; iter:568; total_loss: 0.0936
2023-05-06-02:30:26 Train---Epoch:067; Lr:0.00050000; iter:568; total_loss: 0.0084
2023-05-06-02:30:55 Valid---Epoch:067; Lr:0.00050000; iter:568; total_loss: 0.0874
2023-05-06-02:31:56 Train---Epoch:068; Lr:0.00050000; iter:568; total_loss: 0.0084
2023-05-06-02:32:26 Valid---Epoch:068; Lr:0.00050000; iter:568; total_loss: 0.1045
2023-05-06-02:33:27 Train---Epoch:069; Lr:0.00050000; iter:568; total_loss: 0.0082
2023-05-06-02:33:56 Valid---Epoch:069; Lr:0.00050000; iter:568; total_loss: 0.0961
2023-05-06-02:34:57 Train---Epoch:070; Lr:0.00050000; iter:568; total_loss: 0.0084
2023-05-06-02:35:26 Valid---Epoch:070; Lr:0.00050000; iter:568; total_loss: 0.0897
2023-05-06-02:36:27 Train---Epoch:071; Lr:0.00050000; iter:568; total_loss: 0.0084
2023-05-06-02:36:56 Valid---Epoch:071; Lr:0.00050000; iter:568; total_loss: 0.0959
2023-05-06-02:37:58 Train---Epoch:072; Lr:0.00050000; iter:568; total_loss: 0.0083
2023-05-06-02:38:27 Valid---Epoch:072; Lr:0.00050000; iter:568; total_loss: 0.1018
2023-05-06-02:39:28 Train---Epoch:073; Lr:0.00050000; iter:568; total_loss: 0.0083
2023-05-06-02:39:57 Valid---Epoch:073; Lr:0.00050000; iter:568; total_loss: 0.0909
2023-05-06-02:40:58 Train---Epoch:074; Lr:0.00050000; iter:568; total_loss: 0.0083
2023-05-06-02:41:27 Valid---Epoch:074; Lr:0.00050000; iter:568; total_loss: 0.1054
2023-05-06-02:42:28 Train---Epoch:075; Lr:0.00050000; iter:568; total_loss: 0.0083
2023-05-06-02:42:57 Valid---Epoch:075; Lr:0.00050000; iter:568; total_loss: 0.0950
2023-05-06-02:43:58 Train---Epoch:076; Lr:0.00050000; iter:568; total_loss: 0.0081
2023-05-06-02:44:27 Valid---Epoch:076; Lr:0.00050000; iter:568; total_loss: 0.0999
2023-05-06-02:45:28 Train---Epoch:077; Lr:0.00050000; iter:568; total_loss: 0.0081
